,sofifa_id,short_name,player_positions,overall_2020,overall,age,pace,shooting,passing,dribbling,defending,physic
0,158023,L. Messi,ED,94,93,32,87,92,92,96,39,66
1,20801,Cristiano Ronaldo,ST,93,93,34,90,93,82,89,35,78
2,190871,Neymar Jr,EI,92,93,27,91,85,87,95,32,58
3,200389,J. Oblak,GK,91,90,26,0,0,0,0,0,0
4,183277,E. Hazard,EI,91,91,28,91,83,86,94,35,66
5,192985,K. De Bruyne,CM,91,91,28,76,86,92,86,61,78
6,192448,M. ter Stegen,GK,90,90,27,0,0,0,0,0,0
7,203376,V. van Dijk,DF,90,89,27,77,60,70,71,90,86
8,177003,L. Modrić,CM,90,89,33,74,76,89,89,72,66
9,209331,M. Salah,ED,90,89,27,93,86,81,89,45,74
10,231747,K. Mbappé,ST,89,88,20,96,84,78,90,39,75
11,201024,K. Koulibaly,DF,89,89,28,71,28,54,67,89,87
12,202126,H. Kane,ST,89,88,25,70,91,79,81,47,83
13,212831,Alisson,GK,89,88,26,0,0,0,0,0,0
14,193080,De Gea,GK,89,89,28,0,0,0,0,0,0
15,215914,N. Kanté,CM,89,89,28,78,65,77,81,87,83
16,138956,G. Chiellini,DF,89,89,34,68,46,58,60,90,82
17,153079,S. Agüero,ST,89,89,31,80,90,77,88,33,74
18,155862,Sergio Ramos,DF,89,89,33,72,68,75,73,87,85
19,176580,L. Suárez,ST,89,90,32,73,89,80,84,51,84
20,188545,R. Lewandowski,ST,89,89,30,77,87,74,85,41,82
21,189511,Sergio Busquets,CM,89,89,30,42,62,80,80,85,80
22,194765,A. Griezmann,MP,89,90,28,81,86,84,89,57,72
23,211110,P. Dybala,CM,88,88,25,83,82,84,90,43,64
24,195864,P. Pogba,CM,88,88,26,74,81,86,85,66,86
25,210257,Ederson,GK,88,87,25,0,0,0,0,0,0
26,202652,R. Sterling,ED,88,88,24,93,79,78,89,45,57
27,190460,C. Eriksen,CM,88,88,27,73,81,90,84,53,63
28,192119,T. Courtois,GK,88,88,27,0,0,0,0,0,0
29,152729,Piqué,DF,88,88,32,56,61,72,68,88,80
30,162835,S. Handanovič,GK,88,88,34,0,0,0,0,0,0
31,167495,M. Neuer,GK,88,89,33,0,0,0,0,0,0
32,167948,H. Lloris,GK,88,88,32,0,0,0,0,0,0
33,168542,David Silva,CM,88,88,33,65,74,88,89,52,57
34,179813,E. Cavani,ST,88,88,32,75,86,72,79,55,83
35,182493,D. Godín,DF,88,88,33,60,48,64,61,89,83
36,182521,T. Kroos,CM,88,89,29,45,80,90,81,70,69
37,188350,M. Reus,CM,88,88,30,85,88,84,87,45,66
38,188567,P. Aubameyang,ST,88,88,30,94,85,75,80,37,69
39,208722,S. Mané,EI,88,88,27,94,83,77,89,44,74
40,212218,A. Laporte,DF,87,87,25,64,50,71,68,88,82
41,218667,Bernardo Silva,ED,87,86,24,81,76,83,92,51,67
42,200145,Casemiro,CM,87,87,27,62,72,75,72,85,89
43,200104,H. Son,MP,87,87,26,88,86,80,87,42,68
44,135507,Fernandinho,CM,87,86,34,66,74,79,78,84,79
45,164240,Thiago Silva,DF,87,87,34,62,54,72,72,87,78
46,165153,K. Benzema,MP,87,87,31,76,82,80,86,39,77
47,172871,J. Vertonghen,DF,87,87,32,63,63,74,72,87,79
48,175943,D. Mertens,MP,87,86,32,88,83,80,91,35,53
49,178603,M. Hummels,DF,87,87,30,51,58,76,72,89,76
50,184087,T. Alderweireld,DF,87,87,30,64,55,72,66,88,79
51,189332,Jordi Alba,LI,87,87,30,90,69,81,83,79,73
52,189509,Thiago,CM,87,87,28,69,74,85,90,69,63
53,193041,K. Navas,GK,87,87,32,0,0,0,0,0,0
54,198219,L. Insigne,MP,87,87,28,89,79,85,91,35,47
55,222492,L. Sané,EI,86,86,23,95,81,79,86,38,70
56,207865,Marquinhos,DF,86,86,25,74,41,73,70,86,77
57,232363,M. Škriniar,DF,86,85,24,69,41,59,66,87,82
58,199556,M. Verratti,CM,86,86,26,65,60,84,90,79,66
59,205600,S. Umtiti,DF,86,86,25,69,63,69,69,86,82
60,186153,W. Szczęsny,GK,86,87,29,0,0,0,0,0,0
61,212622,J. Kimmich,LD,86,85,24,72,69,86,84,79,78
62,197781,Isco,CM,86,86,27,71,77,83,91,59,60
63,201942,Roberto Firmino,MP,86,86,27,77,82,80,87,61,78
64,168651,I. Rakitić,CM,86,86,31,62,81,86,81,74,70
65,180206,M. Pjanić,CM,86,86,29,68,68,87,85,75,67
66,183898,A. Di María,ED,86,86,31,84,79,84,87,48,68
67,184344,L. Bonucci,DF,86,86,32,58,58,69,70,87,79
68,189242,Coutinho,EI,86,86,27,79,80,84,90,52,64
69,189513,Parejo,CM,86,85,30,41,80,88,79,70,69
70,189596,T. Müller,CM,86,86,29,72,83,79,78,55,71
71,192387,C. Immobile,ST,86,85,29,80,85,63,81,39,76
72,193301,A. Lacazette,ST,86,85,28,82,85,75,86,40,74
73,235243,M. de Ligt,DF,85,85,19,67,58,66,68,83,84
74,230621,G. Donnarumma,GK,85,84,20,0,0,0,0,0,0
75,228702,F. de Jong,CM,85,86,22,79,64,84,87,76,76
76,201535,R. Varane,DF,85,86,26,83,45,62,63,85,80
77,212190,N. Süle,DF,85,85,23,72,42,55,50,86,82
78,223848,S. Milinković-Savić,CM,85,85,24,67,79,80,83,77,84
79,231866,Rodri,CM,85,84,23,67,68,77,77,82,80
80,208421,Saúl,CM,85,84,24,70,78,79,81,78,78
81,209499,Fabinho,CM,85,85,25,68,69,78,77,85,83
82,216267,A. Robertson,LI,85,84,25,85,62,77,79,80,75
83,216460,J. Giménez,DF,85,85,24,69,45,52,54,86,82
84,220440,C. Lenglet,DF,85,85,24,75,45,68,65,86,80
85,212198,Bruno Fernandes,CM,85,84,24,77,83,87,85,65,74
86,199482,A. Lopes,GK,85,85,28,0,0,0,0,0,0
87,185122,P. Gulácsi,GK,85,85,29,0,0,0,0,0,0
88,189117,R. Bürki,GK,85,85,28,0,0,0,0,0,0
89,192505,R. Lukaku,ST,85,85,26,75,82,73,72,35,84
90,192774,K. Manolas,DF,85,85,28,82,25,42,60,86,81
91,194404,Neto,GK,85,85,29,0,0,0,0,0,0
92,197445,D. Alaba,LI,85,86,27,83,73,81,80,80,76
93,201399,M. Icardi,ST,85,85,26,75,84,61,77,36,69
94,204963,Carvajal,LD,85,86,27,81,47,78,81,82,80
95,208670,H. Ziyech,CM,85,84,26,80,75,86,83,50,66
96,41236,Z. Ibrahimović,ST,85,85,37,56,88,77,77,34,78
97,143076,A. Gómez,CM,85,85,31,89,78,81,86,39,55
98,167664,G. Higuaín,ST,85,86,31,63,85,71,80,31,71
99,170890,B. Matuidi,CM,85,85,32,75,66,76,78,83,81
100,173731,G. Bale,ED,85,86,29,91,87,82,82,58,76
101,176676,Marcelo,LI,85,86,31,81,74,83,89,77,79
102,177413,A. Witsel,CM,85,85,30,73,74,80,79,83,81
103,191043,Alex Sandro,LI,85,85,28,83,65,77,80,82,82
104,192629,Iago Aspas,ST,85,84,31,78,84,77,85,35,64
105,193747,Koke,CD,85,85,27,68,75,86,82,74,79
106,198710,J. Rodríguez,CM,85,86,27,55,86,87,86,50,63
107,199914,Allan,CM,85,84,28,75,71,78,84,85,84
108,233049,J. Sancho,CD,84,83,19,88,72,77,90,36,60
109,235790,K. Havertz,CM,84,82,20,84,78,79,84,44,65
110,231443,O. Dembélé,ED,84,84,22,93,79,80,87,36,57
111,206585,Kepa,GK,84,83,24,0,0,0,0,0,0
112,210514,João Cancelo,LD,84,84,25,90,65,80,84,78,71
113,211117,D. Alli,CM,84,84,23,72,81,79,82,71,79
114,220814,L. Hernández,DF,84,85,23,81,54,70,71,83,82
115,230658,Arthur,CM,84,83,22,69,71,81,86,73,70
116,202556,M. Depay,MP,84,84,25,87,80,81,84,32,78
117,209658,L. Goretzka,CM,84,85,24,81,77,80,81,75,79
118,212194,J. Brandt,CM,84,84,23,82,78,81,85,40,68
119,213345,K. Coman,CI,84,84,23,92,76,77,87,29,60
120,206113,S. Gnabry,CD,84,83,23,90,82,75,86,43,69
121,216594,N. Fekir,CM,84,84,25,78,82,81,88,33,77
122,192563,B. Leno,GK,84,84,27,0,0,0,0,0,0
123,198706,Luis Alberto,CM,84,83,26,71,76,84,85,49,59
124,212462,Alex Telles,LI,84,84,26,85,72,84,81,80,76
125,236583,J. Pavlenka,GK,84,83,27,0,0,0,0,0,0
