,sofifa_id,short_name,player_positions,overall,age
0,20801,Cristiano Ronaldo,EI,94,31
1,158023,L. Messi,ED,93,29
2,190871,Neymar,EI,92,24
3,167495,M. Neuer,GK,92,30
4,176580,L. Suárez,ST,92,29
5,193080,De Gea,GK,90,25
6,41236,Z. Ibrahimović,ST,90,34
7,173731,G. Bale,ED,90,26
8,183907,J. Boateng,DF,90,27
9,188545,R. Lewandowski,ST,90,27
10,192119,T. Courtois,GK,89,24
11,176635,M. Özil,CM,89,27
12,153079,S. Agüero,ST,89,28
13,155862,Sergio Ramos,DF,89,30
14,164240,Thiago Silva,DF,89,31
15,177003,L. Modrić,CM,89,30
16,195864,P. Pogba,CM,88,23
17,194765,A. Griezmann,ST,88,25
18,192985,K. De Bruyne,CM,88,25
19,182521,T. Kroos,CM,88,26
20,183277,E. Hazard,CI,88,25
21,1179,G. Buffon,GK,88,38
22,48940,P. Čech,GK,88,34
23,120533,Pepe,DF,88,33
24,121939,P. Lahm,LD,88,32
25,138956,G. Chiellini,DF,88,31
26,167664,G. Higuaín,ST,88,28
27,167948,H. Lloris,GK,88,29
28,182493,D. Godín,DF,88,30
29,188350,M. Reus,CI,88,27
30,198710,J. Rodríguez,CM,87,24
31,200389,J. Oblak,GK,87,23
32,197445,D. Alaba,LI,87,24
33,189511,Sergio Busquets,CM,87,27
34,189596,T. Müller,MP,87,26
35,9014,A. Robben,CD,87,32
36,162835,S. Handanovič,GK,87,31
37,165153,K. Benzema,ST,87,28
38,168542,David Silva,CM,87,30
39,168651,I. Rakitić,CM,87,28
40,178603,M. Hummels,DF,87,27
41,181872,A. Vidal,CM,87,29
42,183898,A. Di María,ED,87,28
43,184344,L. Bonucci,DF,87,29
44,184941,A. Sánchez,EI,87,27
45,192563,B. Leno,GK,86,24
46,188567,P. Aubameyang,ST,86,27
47,189332,Jordi Alba,LI,86,27
48,137186,A. Barzagli,DF,86,35
49,139720,V. Kompany,DF,86,30
50,146562,Santi Cazorla,CM,86,31
51,152729,Piqué,DF,86,29
52,156616,F. Ribéry,CI,86,33
53,162895,Cesc Fàbregas,CM,86,29
54,168609,Miranda,DF,86,31
55,170890,B. Matuidi,CM,86,29
56,173210,C. Marchisio,CM,86,30
57,176676,Marcelo,LI,86,28
58,177388,D. Payet,CI,86,29
59,211110,P. Dybala,ST,85,22
60,199556,M. Verratti,CM,85,23
61,189242,Coutinho,CM,85,24
62,193301,A. Lacazette,ST,85,25
63,204485,R. Mahrez,CD,85,25
64,180206,M. Pjanić,CM,85,26
65,186942,I. Gündoğan,CM,85,25
66,179844,Diego Costa,ST,85,27
67,184087,T. Alderweireld,DF,85,27
68,191180,J. Pastore,CM,85,27
69,142754,J. Mascherano,DF,85,32
70,146530,Dani Alves,LD,85,33
71,163705,S. Mandanda,GK,85,31
72,164169,Filipe Luís,LI,85,30
73,165229,L. Koscielny,DF,85,30
74,167628,S. Ruffier,GK,85,29
75,171877,M. Hamšik,CM,85,28
76,174543,C. Bravo,GK,85,33
77,179813,E. Cavani,ST,85,29
78,180403,Willian,CD,85,27
79,184144,N. Gaitán,CI,85,28
80,192366,N. Otamendi,DF,85,28
81,192883,H. Mkhitaryan,CD,85,27
82,193041,K. Navas,GK,85,29
83,201535,R. Varane,DF,84,23
84,192505,R. Lukaku,ST,84,23
85,202126,H. Kane,ST,84,22
86,211575,André Gomes,CM,84,22
87,190460,C. Eriksen,CM,84,24
88,193747,Koke,CM,84,24
89,197781,Isco,CM,84,24
90,207566,William Carvalho,CM,84,24
91,212218,A. Laporte,DF,84,22
92,186561,A. Ramsey,CM,84,25
93,189509,Thiago,CM,84,25
94,191043,Alex Sandro,LI,84,25
95,192318,M. Götze,CM,84,24
96,192774,K. Manolas,DF,84,25
97,199503,G. Xhaka,CM,84,23
98,202166,J. Draxler,CM,84,22
99,197242,G. Krychowiak,CM,84,26
100,177610,Javi Martinez,DF,84,27
101,177683,Y. Sommer,GK,84,27
102,178005,Rui Patrício,GK,84,28
103,179783,R. Fährmann,GK,84,27
104,185239,O. Toprak,DF,84,26
105,189881,C. Smalling,DF,84,26
106,190483,Douglas Costa,CI,84,25
107,13732,J. Terry,DF,84,35
108,20289,Y. Touré,CM,84,33
109,24630,José Reina,GK,84,33
110,45197,Xabi Alonso,CM,84,34
111,54050,W. Rooney,CM,84,30
112,106231,Aduriz,ST,84,35
113,143745,A. Turan,CM,84,29
114,150724,J. Hart,GK,84,29
115,161648,H. Ben Arfa,CM,84,29
116,170481,E. Garay,DF,84,29
117,171833,D. Sturridge,ST,84,26
118,171919,Naldo,DF,84,33
119,172879,Sokratis,DF,84,28
120,176769,Jonas,ST,84,32
121,178088,Juan Mata,CM,84,28
122,178518,R. Nainggolan,CM,84,28
123,178562,E. Banega,CM,84,28
124,179784,B. Höwedes,DF,84,28
125,179944,David Luiz,DF,84,29
126,184432,Azpilicueta,LI,84,26
127,191202,N. Matić,CM,84,27
128,207664,C. Bacca,ST,84,29
129,192227,S. Mustafi,DF,83,24
130,192448,M. ter Stegen,GK,83,24
131,197853,S. Aurier,LD,83,23
132,198009,M. Perin,GK,83,23
133,212814,João Mário,CD,83,23
134,216460,J. Giménez,DF,83,21
135,186547,M. Musacchio,DF,83,25
136,188152,Oscar,CM,83,24
137,199482,A. Lopes,GK,83,25
138,188943,K. Trapp,GK,83,25
139,193352,R. Rodríguez,LI,83,23
