,sofifa_id,short_name,player_positions,overall_15,overall_16,overall_17,overall_18,overall_19,overall_20,overall,age,pace,shooting,passing,dribbling,defending,physic,evol
0,158023,L. Messi,ED,93,94,94,94,94,94,93,32,87,92,92,96,39,66,-1
1,20801,Cristiano Ronaldo,ST,92,93,93,93,94,93,93,34,90,93,82,89,35,78,0
2,190871,Neymar Jr,EI,90,90,92,92,92,92,93,27,91,85,87,95,32,58,1
3,200389,J. Oblak,GK,90,90,92,92,91,91,90,26,0,0,0,0,0,0,-1
4,183277,E. Hazard,EI,90,90,92,92,91,91,91,28,91,83,86,94,35,66,0
5,192985,K. De Bruyne,CM,89,89,90,91,91,91,91,28,76,86,92,86,61,78,0
6,192448,M. ter Stegen,GK,88,89,90,90,91,90,90,27,0,0,0,0,0,0,0
7,203376,V. van Dijk,DF,88,88,90,90,91,90,89,27,77,60,70,71,90,86,-1
8,177003,L. Modrić,CM,88,88,90,90,91,90,89,33,74,76,89,89,72,66,-1
9,209331,M. Salah,ED,88,88,90,90,90,90,89,27,93,86,81,89,45,74,-1
10,231747,K. Mbappé,ST,88,87,89,90,90,89,88,20,96,84,78,90,39,75,-1
11,201024,K. Koulibaly,DF,87,87,89,89,90,89,89,28,71,28,54,67,89,87,0
12,202126,H. Kane,ST,87,87,89,89,90,89,88,25,70,91,79,81,47,83,-1
13,212831,Alisson,GK,87,87,89,89,90,89,88,26,0,0,0,0,0,0,-1
14,193080,De Gea,GK,87,87,89,89,90,89,89,28,0,0,0,0,0,0,0
15,215914,N. Kanté,CM,87,87,89,89,89,89,89,28,78,65,77,81,87,83,0
16,138956,G. Chiellini,DF,87,87,88,89,89,89,89,34,68,46,58,60,90,82,0
17,153079,S. Agüero,ST,87,87,88,89,89,89,89,31,80,90,77,88,33,74,0
18,155862,Sergio Ramos,DF,86,87,88,89,89,89,89,33,72,68,75,73,87,85,0
19,176580,L. Suárez,ST,86,87,88,88,89,89,90,32,73,89,80,84,51,84,1
20,188545,R. Lewandowski,ST,86,87,88,88,89,89,89,30,77,87,74,85,41,82,0
21,189511,Sergio Busquets,CM,86,87,88,88,89,89,89,30,42,62,80,80,85,80,0
22,194765,A. Griezmann,MP,86,87,88,88,89,89,90,28,81,86,84,89,57,72,1
23,211110,P. Dybala,CM,86,86,88,88,89,88,88,25,83,82,84,90,43,64,0
24,195864,P. Pogba,CM,86,86,88,88,89,88,88,26,74,81,86,85,66,86,0
25,210257,Ederson,GK,86,86,88,88,89,88,87,25,0,0,0,0,0,0,-1
26,202652,R. Sterling,ED,86,86,88,88,88,88,88,24,93,79,78,89,45,57,0
27,190460,C. Eriksen,CM,86,86,88,88,88,88,88,27,73,81,90,84,53,63,0
28,192119,T. Courtois,GK,86,86,88,88,88,88,88,27,0,0,0,0,0,0,0
29,152729,Piqué,DF,86,86,88,88,88,88,88,32,56,61,72,68,88,80,0
30,162835,S. Handanovič,GK,86,86,87,88,88,88,88,34,0,0,0,0,0,0,0
31,167495,M. Neuer,GK,85,86,87,88,88,88,89,33,0,0,0,0,0,0,1
32,167948,H. Lloris,GK,85,86,87,88,88,88,88,32,0,0,0,0,0,0,0
33,168542,David Silva,CM,85,86,87,87,88,88,88,33,65,74,88,89,52,57,0
34,179813,E. Cavani,ST,85,86,87,87,88,88,88,32,75,86,72,79,55,83,0
35,182493,D. Godín,DF,85,86,87,87,88,88,88,33,60,48,64,61,89,83,0
36,182521,T. Kroos,CM,85,86,87,87,88,88,89,29,45,80,90,81,70,69,1
37,188350,M. Reus,CM,85,86,87,87,88,88,88,30,85,88,84,87,45,66,0
38,188567,P. Aubameyang,ST,85,85,87,87,88,88,88,30,94,85,75,80,37,69,0
39,208722,S. Mané,EI,85,85,87,87,88,88,88,27,94,83,77,89,44,74,0
40,212218,A. Laporte,DF,85,85,87,87,88,87,87,25,64,50,71,68,88,82,0
41,218667,Bernardo Silva,ED,85,85,87,87,87,87,86,24,81,76,83,92,51,67,-1
42,200145,Casemiro,CM,85,85,87,87,87,87,87,27,62,72,75,72,85,89,0
43,200104,H. Son,MP,85,85,87,87,87,87,87,26,88,86,80,87,42,68,0
44,135507,Fernandinho,CM,84,85,87,87,87,87,86,34,66,74,79,78,84,79,-1
45,164240,Thiago Silva,DF,84,85,86,86,87,87,87,34,62,54,72,72,87,78,0
46,165153,K. Benzema,MP,84,85,86,86,87,87,87,31,76,82,80,86,39,77,0
47,172871,J. Vertonghen,DF,84,85,86,86,87,87,87,32,63,63,74,72,87,79,0
48,175943,D. Mertens,MP,84,85,86,86,87,87,86,32,88,83,80,91,35,53,-1
49,178603,M. Hummels,DF,84,85,86,86,87,87,87,30,51,58,76,72,89,76,0
50,184087,T. Alderweireld,DF,84,84,86,86,87,87,87,30,64,55,72,66,88,79,0
51,189332,Jordi Alba,LI,84,84,86,86,87,87,87,30,90,69,81,83,79,73,0
52,189509,Thiago,CM,84,84,86,86,87,87,87,28,69,74,85,90,69,63,0
53,193041,K. Navas,GK,84,84,86,86,87,87,87,32,0,0,0,0,0,0,0
